_id,UNIT_NO,YEAR,MAKE,MODEL,CATEGORY,CAT_DESC,UNIT_TYPE,CATEGORY_CLASS,CAT_GRP,IN_SERV_DT,STATUS_DESC,CLASS2,HIGH_PRIORITY,OWNER_DIVISION,REF_DIVISION,SEASONAL,AVAILABILITY_YTD
922,049011,2019,DODGE,RAM 1500,5HS2FTUZZZ,PU-1/2T-SC CL2 4X4 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2020-01-22,Active Unit,FLEE,None,TORONTO WATER,TORONTO WATER,Non Seasonal,1
923,049012,2019,DODGE,RAM 1500,5HS2FTUZZZ,PU-1/2T-SC CL2 4X4 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2020-01-28,Active Unit,FLEE,None,TORONTO WATER,TORONTO WATER,Non Seasonal,0.9924243951612903
924,050001,2012,DODGE,RAM 1500,5HC2FTUZZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2011-11-03,Replacement Program,FLEE,None,PARKS & RECREATION,PARKS & RECREATION,Non Seasonal,0.8870967741935484
925,050015,2015,DODGE,RAM 1500,5HC2FTUZZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2015-03-25,Active Unit,FLEE,None,TRANSPORTATION SERVICES,TRANSPORTATION SERVICES,Non Seasonal,1
926,050016,2014,DODGE,RAM 1500,5HC2FTUZZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2015-04-07,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.96400145609319
927,050021,2014,DODGE,RAM 1500,5HC2FTUZZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2015-04-07,Active Unit,FLEE,None,"SHELTER, SUP., & HOUSING ADMIN","SHELTER, SUP., & HOUSING ADMIN",Non Seasonal,0.9673515905017921
928,050022,2014,DODGE,RAM 1500,5HC2FTUZZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2015-04-08,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.8672715053763441
929,050024,2014,DODGE,RAM 1500,5HC2FTUZZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2015-04-07,REDEPLOYED Unit,FLEE,None,TRANSPORTATION SERVICES,FLEET SERVICES,Non Seasonal,0
930,050025,2014,DODGE,RAM 1500,5HC2FTUZZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2015-03-18,Replacement Program,FLEE,None,TRANSPORTATION SERVICES,TRANSPORTATION SERVICES,Non Seasonal,1
931,050028,2021,DODGE,RAM 1500 (TRADESMAN),5HC2FTUEZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD TC12B,LIGHT DUTY,CLASS2,PICKU-1/2T,2021-04-15,Active Unit,FLEE,None,TRANSPORTATION SERVICES,TRANSPORTATION SERVICES,Non Seasonal,0.7950106406810036
932,050029,2021,DODGE,RAM 1500 (TRADESMAN),5HC2FTUEZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD TC12B,LIGHT DUTY,CLASS2,PICKU-1/2T,2021-02-10,Active Unit,FLEE,None,TRANSPORTATION SERVICES,TRANSPORTATION SERVICES,Non Seasonal,1
933,050030,2016,DODGE,RAM 1500,5HC2FTUEZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD TC12B,LIGHT DUTY,CLASS2,PICKU-1/2T,2016-06-30,Active Unit,FLEE,None,MUNICIPAL LICENSING & STDS,MUNICIPAL LICENSING & STDS,Non Seasonal,0.7329368279569892
934,050031,2016,DODGE,RAM 1500,5HC2FTUZZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2016-05-31,Active Unit,FLEE,None,TORONTO WATER,TORONTO WATER,Non Seasonal,0.8858613351254481
935,050032,2016,DODGE,RAM 1500,5HC2FTUZZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2016-05-31,Active Unit,FLEE,None,TRANSPORTATION SERVICES,TRANSPORTATION SERVICES,Non Seasonal,0.9797171818996415
936,050033,2016,DODGE,RAM 1500,5HC2FTUZZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2016-05-27,Active Unit,FLEE,None,TRANSPORTATION SERVICES,TRANSPORTATION SERVICES,Non Seasonal,1
937,050035,2017,DODGE,RAM 1500,5HC2FTUZZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2016-12-28,Active Unit,FLEE,None,TORONTO WATER,TORONTO WATER,Non Seasonal,0.8537920026881721
938,050036,2017,DODGE,RAM 1500,5HC2FTUZZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2017-09-28,Active Unit,FLEE,None,PARKS & RECREATION,PARKS & RECREATION,Non Seasonal,0.6911743951612903
939,050038,2017,DODGE,RAM 1500,5HC2FTUZZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD,LIGHT DUTY,CLASS2,PICKU-1/2T,2017-09-21,Active Unit,FLEE,None,FLEET SERVICES,FLEET SERVICES,Non Seasonal,0.9853668234767026
940,050039,2021,DODGE,RAM 1500 (TRADESMAN),5HC2FTUEZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD TC12B,LIGHT DUTY,CLASS2,PICKU-1/2T,2021-02-19,Active Unit,FLEE,None,TRANSPORTATION SERVICES,TRANSPORTATION SERVICES,Non Seasonal,0.9999411962365592
941,050040,2019,DODGE,RAM 1500 (TRADESMAN),5HC2FTUEZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD TC12B,LIGHT DUTY,CLASS2,PICKU-1/2T,2019-06-24,Active Unit,FLEE,None,TRANSPORTATION SERVICES,TRANSPORTATION SERVICES,Non Seasonal,0.7039163306451613
942,050041,2019,DODGE,RAM 1500 (TRADESMAN),5HC2FTUEZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD TC12B,LIGHT DUTY,CLASS2,PICKU-1/2T,2019-04-26,Active Unit,FLEE,None,TRANSPORTATION SERVICES,TRANSPORTATION SERVICES,Non Seasonal,0.9884375
943,050042,2019,DODGE,RAM 1500 (TRADESMAN),5HC2FTUEZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD TC12B,LIGHT DUTY,CLASS2,PICKU-1/2T,2019-04-12,Active Unit,FLEE,None,TRANSPORTATION SERVICES,TRANSPORTATION SERVICES,Non Seasonal,0.8882605286738352
944,050043,2019,DODGE,RAM 1500 (TRADESMAN),5HC2FTUEZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD TC12B,LIGHT DUTY,CLASS2,PICKU-1/2T,2019-04-26,Active Unit,FLEE,None,TRANSPORTATION SERVICES,TRANSPORTATION SERVICES,Non Seasonal,0.7495402105734768
945,050044,2019,DODGE,RAM 1500 (TRADESMAN),5HC2FTUEZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD TC12B,LIGHT DUTY,CLASS2,PICKU-1/2T,2019-06-12,Active Unit,FLEE,None,TRANSPORTATION SERVICES,TRANSPORTATION SERVICES,Non Seasonal,0.7782493279569892
946,050045,2019,DODGE,RAM 1500 (TRADESMAN),5HC2FTUEZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD TC12B,LIGHT DUTY,CLASS2,PICKU-1/2T,2019-06-12,Active Unit,FLEE,None,TRANSPORTATION SERVICES,TRANSPORTATION SERVICES,Non Seasonal,0.999437724014337
947,050046,2019,DODGE,RAM 1500 (TRADESMAN),5HC2FTUEZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD TC12B,LIGHT DUTY,CLASS2,PICKU-1/2T,2019-04-03,Active Unit,FLEE,None,"ENVIRONMENT, CLIMATE & FORESTR","ENVIRONMENT, CLIMATE & FORESTR",Non Seasonal,1
948,050047,2019,DODGE,RAM 1500 (TRADESMAN),5HC2FTUEZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD TC12B,LIGHT DUTY,CLASS2,PICKU-1/2T,2019-06-12,Active Unit,FLEE,None,TRANSPORTATION SERVICES,TRANSPORTATION SERVICES,Non Seasonal,0.9689924955197133
949,050048,2019,DODGE,RAM 1500 (TRADESMAN),5HC2FTUEZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD TC12B,LIGHT DUTY,CLASS2,PICKU-1/2T,2019-03-13,Active Unit,FLEE,None,TRANSPORTATION SERVICES,TRANSPORTATION SERVICES,Non Seasonal,1
950,050049,2019,DODGE,RAM 1500 (TRADESMAN),5HC2FTUEZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD TC12B,LIGHT DUTY,CLASS2,PICKU-1/2T,2019-04-02,Active Unit,FLEE,None,TRANSPORTATION SERVICES,TRANSPORTATION SERVICES,Non Seasonal,0.8283478942652329
951,050050,2019,DODGE,RAM 1500 (TRADESMAN),5HC2FTUEZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD TC12B,LIGHT DUTY,CLASS2,PICKU-1/2T,2019-11-12,Active Unit,FLEE,None,TRANSPORTATION SERVICES,TRANSPORTATION SERVICES,Non Seasonal,1
952,050051,2019,DODGE,RAM 1500 (TRADESMAN),5HC2FTUEZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD TC12B,LIGHT DUTY,CLASS2,PICKU-1/2T,2019-04-12,Active Unit,FLEE,None,TRANSPORTATION SERVICES,TRANSPORTATION SERVICES,Non Seasonal,0.6336251120071685
953,050052,2019,DODGE,RAM 1500 (TRADESMAN),5HC2FTUEZZ,PU-1/2T-CC CL2 4X4 10Y UNLEAD TC12B,LIGHT DUTY,CLASS2,PICKU-1/2T,2019-04-26,Active Unit,FLEE,None,TRANSPORTATION SERVICES,TRANSPORTATION SERVICES,Non Seasonal,0.9552660170250896
